objectid,Tipo de Trecho,Jurisdição,Administração,Concessionária,Revestimento,Operacionalização,Situação Física,Tráfego,Canteiro,Capacidade de Carga,Número de Faixas,st_length_,ID,geometria,Código de Trecho,shape,st_length(shape)
570,2,2,0, ,2,1,3,2,0,0,0,0.05773885,570,2,PE 121,,0.057738853122674766
571,2,2,0, ,2,1,3,2,0,0,0,0.16187186,571,2,PE 121,,0.16187185993013062
577,2,2,0, ,1,1,5,2,0,0,0,0.23206268,577,2,PE 355,,0.23206268098016833
579,2,2,0, ,3,1,5,2,0,0,0,0.11152666,579,2,PE 264,,0.11152665853676143
580,2,2,0, ,3,1,5,2,0,0,0,0.0769204,580,2,PE 074,,0.07692040174592164
581,2,2,0, ,3,1,5,2,0,0,0,0.04191959,581,2,PE 074,,0.04191959341114793
583,2,2,0, ,1,1,5,2,0,0,0,0.03820941,583,2,PE 070,,0.03820941334460727
639,2,1,0, ,3,1,5,1,0,0,0,0.06608328,639,2,BR 424,,0.06608327943237412
640,2,1,0, ,3,1,5,1,0,0,0,0.07608605,640,2,BR 424,,0.07608605256356062
611,2,2,0, ,2,1,3,2,0,0,0,0.11391438,611,2,PE 170,,0.11391438080063399
661,2,2,0, ,3,1,5,2,0,0,0,0.02495755,661,2,PE 166,,0.02495755478159101
665,2,2,0, ,3,1,5,2,0,0,0,0.0655769,665,2,PE 123,,0.06557689527616359
629,2,2,0, ,3,1,5,2,0,0,0,0.17458346,629,2,PE 180,,0.174583456222205
635,2,2,0, ,3,1,5,2,0,0,0,0.13884039,635,2,PE 062,,0.13884039443805388
637,2,1,0, ,3,1,5,1,0,0,0,0.07348232,637,2,BR 424,,0.07348231923507698
638,2,1,0, ,3,1,5,1,0,0,0,0.02872244,638,2,BR 424,,0.028722438000416375
